"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"PODUROMORPHA","0","0","0","2","0","2","3","3","0","6","0","7","5","3","21"
"SYMPHYPLEONA","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"AGELASIDA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"AXINELLIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"BUBARIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"DICTYOCERATIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"HAPLOSCLERIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6"
"POECILOSCLERIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4"
"SUBERITIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"TETHYIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"TETRACTINELLIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3"
"VERONGIIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"CHORDEUMATIDA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"POLYDESMIDA","1","0","1","1","0","2","2","0","2","4","0","0","0","2","7"
"POLYZONIIDA","0","0","0","1","0","1","1","2","1","4","0","0","0","0","4"
"SIPHONOPHORIDA","0","0","0","0","0","0","0","2","1","3","0","0","0","0","3"
"SPHAEROTHERIIDA","0","0","0","0","0","0","13","5","3","21","0","19","16","22","78"
"SPIROBOLIDA","2","0","2","2","0","4","16","16","3","35","0","23","11","5","76"
"SPIROSTREPTIDA","0","0","0","0","0","0","4","7","7","18","0","23","25","14","80"
"STEMMIULIDA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"CAMARODONTA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"ALLOGASTROPODA","0","0","0","0","0","0","3","3","5","11","0","3","14","9","37"
"ARCHITAENIOGLOSSA","6","0","6","16","0","22","57","42","49","148","0","40","177","109","480"
"CYCLONERITIDA","0","0","0","0","0","0","8","8","6","22","0","5","52","32","111"
"ELLOBIIDA","0","0","0","0","0","0","0","1","2","3","0","7","49","14","73"
"HYGROPHILA","9","0","9","5","0","14","18","22","26","66","0","15","223","198","511"
"HYPSOGASTROPODA","0","0","0","0","0","0","2","12","7","21","0","3","2","0","26"
"LEPETELLIDA","0","0","0","0","0","0","14","10","12","36","0","16","26","9","87"
"LITTORINIMORPHA","36","0","36","53","0","89","206","149","338","693","0","120","327","577","1,753"
"NEOGASTROPODA","0","0","0","0","0","0","5","14","32","51","0","29","480","113","673"
"NEOMPHALIDA","0","0","0","0","0","0","8","1","10","19","0","15","4","0","38"
"NUDIBRANCHIA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"PATELLIDA","2","0","2","0","0","2","1","1","2","4","0","2","2","0","10"
"PYLOPULMONATA","0","0","0","0","0","0","0","0","1","1","0","0","4","9","14"
"SEGUENZIIDA","0","0","0","0","0","0","3","0","2","5","0","1","0","0","6"
"SIPHONARIIDA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"SORBEOCONCHA","31","3","34","11","0","45","46","48","52","146","0","24","137","92","433"
"STYLOMMATOPHORA","180","10","190","60","1","251","278","247","455","980","0","410","1,196","479","3,255"
"SYSTELLOMMATOPHORA","0","0","0","0","0","0","0","1","0","1","0","0","2","0","3"
"TROCHIDA","0","0","0","0","0","0","5","2","3","10","0","1","4","2","17"
"CYCLOPOIDA","1","0","1","0","0","1","1","0","6","7","5","0","0","0","13"
"HARPACTICOIDA","0","0","0","0","0","0","0","0","18","18","3","0","0","2","23"
"SESSILIA","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"ASPIDOCHIROTIDA","0","0","0","0","0","0","0","7","9","16","0","0","111","244","371"
"ANTHOATHECATA","0","0","0","0","0","0","4","7","2","13","0","0","0","2","15"
"ARCHAEOGNATHA","0","0","0","0","0","0","0","1","1","2","0","0","1","0","3"
"BLATTODEA","1","0","1","6","0","7","8","7","0","15","0","0","9","2","27"
"COLEOPTERA","17","0","17","11","0","28","91","196","134","421","0","148","637","686","1,909"
"DERMAPTERA","1","0","1","0","0","1","3","1","0","4","0","0","1","1","7"
"DIPTERA","4","0","4","1","0","5","22","132","36","190","0","37","88","47","366"
"EPHEMEROPTERA","2","0","2","0","0","2","0","2","0","2","0","0","1","1","6"
"GRYLLOBLATTODEA","0","0","0","0","0","0","1","1","2","4","0","1","0","0","5"
"HEMIPTERA","2","0","2","4","0","6","16","20","9","45","0","8","6","0","61"
"HYMENOPTERA","0","0","0","3","0","3","11","30","180","221","0","57","170","332","780"
"ISOPTERA","0","0","0","0","0","0","2","0","0","2","0","1","7","3","13"
"LEPIDOPTERA","19","0","19","24","0","43","59","101","103","263","0","91","1,184","112","1,669"
"MANTODEA","2","0","2","0","0","2","0","1","3","4","0","3","13","16","38"
"MEGALOPTERA","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"NEUROPTERA","0","0","0","0","0","0","0","0","0","0","0","0","3","1","4"
"ODONATA","1","0","1","19","0","20","97","310","303","710","0","236","3,447","1,830","6,224"
"ORTHOPTERA","3","1","4","24","0","28","117","189","217","523","3","166","600","203","1,499"
"PHASMIDA","1","0","1","1","0","2","5","1","2","8","0","10","62","23","104"
"PHTHIRAPTERA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"PLECOPTERA","1","0","1","0","0","1","1","1","2","4","0","4","8","2","19"
"PSOCODEA","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"PSOCOPTERA","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"SIPHONAPTERA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"THYSANOPTERA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"TRICHOPTERA","4","0","4","0","0","4","0","0","0","0","0","1","0","1","6"
"AMPHIPODA","1","0","1","0","0","1","9","7","57","73","0","2","3","1","80"
"ANASPIDACEA","0","0","0","0","0","0","0","0","4","4","0","0","0","0","4"
"DECAPODA","6","0","6","18","1","25","121","145","228","494","0","71","1,206","1,127","2,904"
"EUPHASIACEA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ISOPODA","0","1","1","0","0","1","8","12","22","42","0","3","1","2","49"
"MICTACEA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"MYSIDA","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2"
"AFROSORICIDA","0","0","0","1","0","1","1","7","9","17","0","2","32","4","55"
"ARTIODACTYLA","8","1","9","2","0","11","16","49","57","122","0","39","141","25","336"
"CARNIVORA","6","0","6","1","0","7","4","29","45","78","0","30","177","6","297"
"CHIROPTERA","9","0","9","4","0","13","26","86","110","222","0","96","773","236","1,336"
"CINGULATA","0","0","0","0","0","0","0","0","2","2","0","5","8","5","20"
"DASYUROMORPHIA","1","0","1","0","0","1","0","5","5","10","0","11","47","3","72"
"DERMOPTERA","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"DIDELPHIMORPHIA","1","0","1","1","0","2","2","0","6","8","0","4","70","15","98"
"DIPROTODONTIA","8","0","8","2","0","10","15","14","23","52","0","23","64","0","147"
"EULIPOTYPHLA","7","0","7","1","0","8","12","40","25","77","0","16","299","101","500"
"HYRACOIDEA","0","0","0","0","0","0","0","0","0","0","0","1","4","0","5"
"LAGOMORPHA","1","0","1","0","0","1","2","14","8","24","0","2","63","6","96"
"MACROSCELIDEA","0","0","0","0","0","0","0","1","1","2","0","0","13","4","19"
"MICROBIOTHERIA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"MONOTREMATA","0","0","0","0","0","0","2","0","1","3","0","1","1","0","5"
"NOTORYCTEMORPHIA","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"PAUCITUBERCULATA","0","0","0","0","0","0","0","0","3","3","0","2","2","0","7"
"PERAMELEMORPHIA","3","0","3","0","0","3","0","3","6","9","0","0","9","1","22"
"PERISSODACTYLA","0","0","0","0","0","0","4","5","3","12","0","3","1","0","16"
"PHOLIDOTA","0","0","0","0","0","0","3","3","2","8","0","0","0","0","8"
"PILOSA","0","0","0","0","0","0","1","0","2","3","0","0","7","0","10"
"PRIMATES","2","0","2","2","0","4","88","145","116","349","0","43","117","14","525"
"PROBOSCIDEA","0","0","0","0","0","0","1","2","0","3","0","0","0","0","3"
"RODENTIA","37","0","37","17","0","54","64","142","138","344","0","112","1,514","373","2,380"
"SCANDENTIA","0","0","0","0","0","0","0","1","1","2","0","0","16","5","23"
"SIRENIA","1","0","1","0","0","1","0","0","4","4","0","0","0","0","5"
"TUBULIDENTATA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"CALANOIDA","1","0","1","0","0","1","2","0","47","49","0","0","0","19","69"
"MISOPHRIOIDA","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2"
"PLATYCOPIOIDA","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2"
"XIPHOSURA","0","0","0","0","0","0","0","1","1","2","0","0","0","2","4"
"TRYBLIDIIDA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"MYXINIFORMES","0","0","0","0","0","0","1","2","6","9","0","2","36","33","80"
"HOPLONEMERTEA","1","0","1","1","0","2","1","1","1","3","0","0","1","1","6"
"HALOCYPRIDA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"MYODOCOPIDA","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"PODOCOPIDA","2","0","2","0","0","2","1","0","8","9","0","0","0","1","12"
"PETROMYZONTIFORMES","0","0","0","1","0","1","4","6","3","13","0","7","21","2","43"
"EUNICIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"NERILLIDA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"LEPIDOPLEURIDA","0","0","0","0","0","0","0","1","0","1","0","1","0","0","2"
"CROCODYLIA","0","0","0","0","0","0","7","1","3","11","1","0","11","0","23"
"RHYNCHOCEPHALIA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"SQUAMATA","24","2","26","48","0","74","355","741","565","1,661","0","530","6,309","1,489","10,015"
"TESTUDINES","8","0","8","1","0","9","68","47","58","173","1","34","46","10","272"
"CERATODONTIFORMES","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"COELACANTHIFORMES","0","0","0","0","0","0","1","0","1","2","0","0","0","0","2"
"LEPIDOSIRENIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5"
"CAVIBELONIA","0","0","0","0","0","0","0","0","1","1","0","2","1","0","4"
"TRICLADIDA","1","0","1","0","0","1","0","0","0","0","0","0","0","1","2"
"EUONYCHOPHORA","0","0","0","0","0","0","3","2","4","9","0","1","0","1","11"
"Total","789","36","825","736","12","1,573","4,069","6,718","7,045","17,832","14","5,104","52,025","15,867","91,667"
